record_id,age_bracket,region,employment_type,payment_type,ato_annual_income,ato_calculated_fortnightly,reported_fortnightly_income,actual_fortnightly_income,income_variance_score,debt_raised_flag,estimated_debt_amount
CL1236,25-34,Regional QLD,Casual,Youth Allowance,31799,1223.04,3084.09,3036.03,148.2,0,0.0
CL1237,35-44,Metro - Brisbane,Permanent Full-Time,JobSeeker,75934,2920.54,2908.24,2945.6,0.9,0,0.0
CL1238,25-34,Regional NSW,Casual,Parenting Payment,37237,1432.19,1558.47,1515.28,5.8,0,0.0
CL1239,45-54,Regional NSW,Casual,Disability Support,39819,1531.5,476.95,479.79,68.7,1,527.27
CL1240,25-34,Metro - Sydney,Permanent Full-Time,JobSeeker,64290,2472.69,2312.17,2310.02,6.6,0,0.0
CL1241,25-34,Metro - Brisbane,Self-Employed,JobSeeker,51230,1970.38,2267.43,2221.76,12.8,0,0.0
CL1242,35-44,Regional VIC,Permanent Part-Time,Parenting Payment,39087,1503.35,1407.05,1418.25,5.7,0,0.0
CL1243,25-34,Regional QLD,Permanent Full-Time,JobSeeker,63846,2455.62,2730.1,2670.48,8.7,0,0.0
CL1244,35-44,Regional QLD,Permanent Full-Time,Youth Allowance,75611,2908.12,2978.41,2939.36,1.1,0,0.0
CL1245,25-34,Regional VIC,Casual,Youth Allowance,35147,1351.81,3597.0,3653.51,170.3,0,0.0
CL1246,18-24,Regional VIC,Self-Employed,JobSeeker,29702,1142.38,611.45,624.51,45.3,1,265.47
CL1247,18-24,Regional QLD,Permanent Part-Time,Youth Allowance,21551,828.88,917.52,906.33,9.3,0,0.0
CL1248,35-44,Regional VIC,Permanent Part-Time,JobSeeker,37065,1425.58,1224.42,1238.26,13.1,0,0.0
CL1249,18-24,Metro - Melbourne,Permanent Part-Time,Youth Allowance,26003,1000.12,1122.02,1101.94,10.2,0,0.0
CL1250,25-34,Metro - Brisbane,Casual,JobSeeker,37543,1443.96,721.65,730.52,49.4,1,361.16
CL1251,25-34,Metro - Brisbane,Casual,Parenting Payment,36676,1410.62,4240.53,4184.87,196.7,0,0.0
CL1252,25-34,Metro - Brisbane,Permanent Full-Time,Parenting Payment,74134,2851.31,2743.54,2692.11,5.6,0,0.0
CL1253,25-34,Remote,Seasonal,JobSeeker,20919,804.58,182.38,185.08,77.0,1,311.1
CL1254,25-34,Regional NSW,Permanent Part-Time,Parenting Payment,30656,1179.08,1188.33,1171.4,0.7,0,0.0
CL1255,35-44,Metro - Melbourne,Permanent Full-Time,Parenting Payment,82478,3172.23,3160.6,3247.81,2.4,0,0.0
CL1256,18-24,Regional NSW,Permanent Part-Time,Youth Allowance,19372,745.08,926.32,945.73,26.9,0,0.0
CL1257,25-34,Regional QLD,Self-Employed,Parenting Payment,39632,1524.31,1231.95,1198.59,21.4,1,146.18
CL1258,45-54,Metro - Brisbane,Permanent Full-Time,JobSeeker,86583,3330.12,3431.17,3360.53,0.9,0,0.0
CL1259,45-54,Metro - Sydney,Self-Employed,JobSeeker,57098,2196.08,3534.28,3447.48,57.0,0,0.0
CL1260,25-34,Remote,Casual,Youth Allowance,32772,1260.46,3464.01,3569.1,183.2,0,0.0
CL1261,35-44,Regional VIC,Casual,Disability Support,39144,1505.54,3092.04,3021.47,100.7,0,0.0
CL1262,18-24,Metro - Melbourne,Seasonal,Youth Allowance,16085,618.65,145.48,147.63,76.1,1,236.58
CL1263,25-34,Metro - Melbourne,Permanent Full-Time,JobSeeker,68190,2622.69,2708.03,2685.68,2.4,0,0.0
CL1264,18-24,Regional NSW,Seasonal,Youth Allowance,16829,647.27,46.83,47.33,92.7,1,300.22
CL1265,25-34,Metro - Melbourne,Permanent Full-Time,JobSeeker,60270,2318.08,2442.07,2467.29,6.4,0,0.0
CL1266,35-44,Regional VIC,Seasonal,JobSeeker,28671,1102.73,67.0,67.79,93.9,1,517.87
CL1267,55-64,Regional NSW,Seasonal,Disability Support,27966,1075.62,2511.26,2446.58,127.5,0,0.0
CL1268,18-24,Metro - Brisbane,Casual,JobSeeker,23877,918.35,2007.81,2018.0,119.7,0,0.0
CL1269,35-44,Regional VIC,Self-Employed,Parenting Payment,58441,2247.73,2349.62,2336.19,3.9,0,0.0
CL1270,35-44,Remote,Permanent Full-Time,JobSeeker,53957,2075.27,1926.38,1918.99,7.5,0,0.0
CL1271,35-44,Metro - Sydney,Casual,Disability Support,45596,1753.69,776.5,779.22,55.6,1,488.6
CL1272,18-24,Regional QLD,Permanent Part-Time,Youth Allowance,21804,838.62,872.53,871.84,4.0,0,0.0
CL1273,18-24,Regional NSW,Casual,Youth Allowance,22102,850.08,109.13,112.48,86.8,1,370.48
CL1274,25-34,Metro - Melbourne,Permanent Part-Time,JobSeeker,29724,1143.23,1056.44,1026.02,10.3,0,0.0
CL1275,18-24,Metro - Sydney,Self-Employed,Youth Allowance,32318,1243.0,1676.6,1653.85,33.1,0,0.0
CL1276,25-34,Regional NSW,Casual,Parenting Payment,36535,1405.19,1397.79,1359.92,3.2,0,0.0
CL1277,18-24,Remote,Seasonal,Youth Allowance,12827,493.35,1008.93,995.32,101.7,0,0.0
CL1278,55-64,Metro - Melbourne,Casual,Parenting Payment,42572,1637.38,2881.18,2902.2,77.2,0,0.0
CL1279,25-34,Metro - Melbourne,Permanent Full-Time,JobSeeker,73303,2819.35,3011.29,2971.17,5.4,0,0.0
CL1280,35-44,Metro - Sydney,Permanent Full-Time,Parenting Payment,89565,3444.81,3450.81,3542.79,2.8,0,0.0
CL1281,25-34,Regional VIC,Permanent Full-Time,Youth Allowance,49303,1896.27,1877.82,1851.1,2.4,0,0.0
CL1282,25-34,Regional NSW,Casual,Youth Allowance,35161,1352.35,687.5,698.64,48.3,1,332.42
CL1283,25-34,Regional QLD,Casual,Youth Allowance,35574,1368.23,641.61,623.44,54.4,1,363.31
CL1284,18-24,Regional VIC,Permanent Part-Time,JobSeeker,24661,948.5,1108.85,1100.53,16.0,0,0.0
CL1285,25-34,Regional NSW,Casual,JobSeeker,33868,1302.62,2645.47,2614.67,100.7,0,0.0
CL1286,45-54,Regional NSW,Permanent Full-Time,JobSeeker,72285,2780.19,2624.07,2570.2,7.6,0,0.0
CL1287,25-34,Metro - Brisbane,Seasonal,JobSeeker,21856,840.62,1477.62,1474.97,75.5,0,0.0
CL1288,35-44,Regional NSW,Permanent Part-Time,JobSeeker,41443,1593.96,1656.22,1634.2,2.5,0,0.0
CL1289,35-44,Metro - Melbourne,Permanent Full-Time,JobSeeker,68260,2625.38,2511.92,2578.0,1.8,0,0.0
CL1290,18-24,Remote,Seasonal,Youth Allowance,14108,542.62,869.21,846.01,55.9,0,0.0
CL1291,35-44,Metro - Sydney,Permanent Full-Time,JobSeeker,85066,3271.77,3320.16,3281.64,0.3,0,0.0
CL1292,35-44,Regional QLD,Permanent Part-Time,Parenting Payment,39824,1531.69,1183.63,1192.17,22.2,1,174.03
CL1293,25-34,Regional VIC,Seasonal,JobSeeker,24723,950.88,2561.75,2528.01,165.9,0,0.0
CL1294,25-34,Remote,Seasonal,Parenting Payment,19148,736.46,935.47,955.77,29.8,0,0.0
CL1295,25-34,Metro - Brisbane,Permanent Part-Time,Youth Allowance,32099,1234.58,1269.47,1264.18,2.4,0,0.0
CL1296,35-44,Metro - Melbourne,Permanent Part-Time,Parenting Payment,38757,1490.65,1623.05,1592.33,6.8,0,0.0
CL1297,18-24,Regional QLD,Seasonal,Youth Allowance,17433,670.5,250.96,251.14,62.5,1,209.77
CL1298,45-54,Regional VIC,Self-Employed,Disability Support,61322,2358.54,3618.4,3719.15,57.7,0,0.0
CL1299,25-34,Metro - Sydney,Permanent Full-Time,Parenting Payment,68827,2647.19,2676.0,2757.2,4.2,0,0.0
CL1300,35-44,Regional VIC,Casual,JobSeeker,44854,1725.15,3890.63,4007.06,132.3,0,0.0
CL1301,35-44,Regional VIC,Casual,JobSeeker,37006,1423.31,1189.2,1167.27,18.0,1,117.05
CL1302,25-34,Regional QLD,Casual,Disability Support,36544,1405.54,1902.43,1888.86,34.4,0,0.0
CL1303,25-34,Metro - Brisbane,Casual,JobSeeker,35495,1365.19,2954.19,2869.78,110.2,0,0.0
CL1304,18-24,Metro - Melbourne,Permanent Full-Time,Parenting Payment,53703,2065.5,2038.43,2050.08,0.7,0,0.0
CL1305,18-24,Regional NSW,Casual,JobSeeker,21140,813.08,1484.67,1459.76,79.5,0,0.0
CL1306,55-64,Regional VIC,Self-Employed,Disability Support,57210,2200.38,2009.24,2042.35,7.2,0,0.0
CL1307,18-24,Remote,Seasonal,Youth Allowance,16002,615.46,886.13,883.85,43.6,0,0.0
CL1308,35-44,Regional QLD,Permanent Full-Time,Disability Support,79345,3051.73,2870.17,2834.0,7.1,0,0.0
CL1309,35-44,Regional NSW,Self-Employed,JobSeeker,54305,2088.65,1484.09,1453.61,30.4,1,302.28
CL1310,45-54,Regional QLD,Seasonal,JobSeeker,25275,972.12,2405.65,2405.54,147.5,0,0.0
CL1311,25-34,Metro - Brisbane,Permanent Full-Time,Youth Allowance,61701,2373.12,2393.37,2408.3,1.5,0,0.0
CL1312,25-34,Remote,Casual,Youth Allowance,28355,1090.58,311.29,313.63,71.2,1,389.64
CL1313,18-24,Metro - Melbourne,Casual,Parenting Payment,27598,1061.46,2533.99,2599.17,144.9,0,0.0
CL1314,25-34,Metro - Melbourne,Permanent Full-Time,Parenting Payment,62654,2409.77,2094.34,2111.99,12.4,0,0.0
CL1315,25-34,Metro - Sydney,Permanent Full-Time,JobSeeker,60324,2320.15,2363.17,2370.45,2.2,0,0.0
CL1316,18-24,Regional VIC,Casual,JobSeeker,23833,916.65,2449.91,2397.59,161.6,0,0.0
CL1317,18-24,Metro - Sydney,Permanent Full-Time,JobSeeker,52432,2016.62,2114.86,2064.66,2.4,0,0.0
CL1318,25-34,Metro - Melbourne,Permanent Part-Time,JobSeeker,30494,1172.85,1100.07,1129.67,3.7,0,0.0
CL1319,45-54,Regional NSW,Permanent Part-Time,JobSeeker,36854,1417.46,1616.21,1574.25,11.1,0,0.0
CL1320,18-24,Regional QLD,Seasonal,Youth Allowance,14128,543.38,265.4,268.1,50.7,1,138.99
CL1321,25-34,Regional VIC,Casual,Parenting Payment,31796,1222.92,2832.86,2816.91,130.3,0,0.0
CL1322,35-44,Metro - Brisbane,Permanent Full-Time,Disability Support,74785,2876.35,3204.99,3245.6,12.8,0,0.0
CL1323,55-64,Regional QLD,Seasonal,Disability Support,24521,943.12,382.28,385.4,59.1,1,280.42
CL1324,25-34,Regional VIC,Permanent Full-Time,Disability Support,61602,2369.31,2235.17,2300.47,2.9,0,0.0
CL1325,18-24,Regional QLD,Casual,Youth Allowance,21984,845.54,2320.33,2279.89,169.6,0,0.0
CL1326,25-34,Regional NSW,Seasonal,JobSeeker,20531,789.65,172.46,173.74,78.0,1,308.59
CL1327,18-24,Regional NSW,Self-Employed,Youth Allowance,31522,1212.38,1788.27,1783.6,47.1,0,0.0
CL1328,25-34,Remote,Self-Employed,Youth Allowance,39697,1526.81,1161.83,1133.64,25.8,1,182.49
CL1329,25-34,Metro - Sydney,Casual,Parenting Payment,38527,1481.81,765.98,757.91,48.9,1,357.91
CL1330,45-54,Regional NSW,Self-Employed,JobSeeker,49080,1887.69,2302.42,2268.82,20.2,0,0.0
CL1331,18-24,Regional VIC,Casual,Youth Allowance,22686,872.54,1882.38,1882.33,115.7,0,0.0
CL1332,18-24,Metro - Brisbane,Self-Employed,Youth Allowance,40260,1548.46,1727.43,1771.45,14.4,0,0.0
CL1333,25-34,Remote,Self-Employed,JobSeeker,38093,1465.12,1620.46,1622.78,10.8,0,0.0
CL1334,18-24,Regional NSW,Seasonal,Youth Allowance,13828,531.85,438.78,442.95,16.7,1,46.54
CL1335,55-64,Metro - Sydney,Casual,JobSeeker,39743,1528.58,127.75,127.29,91.7,1,700.41
CL1336,18-24,Regional NSW,Permanent Part-Time,JobSeeker,22652,871.23,963.7,967.64,11.1,0,0.0
CL1337,35-44,Metro - Sydney,Casual,Disability Support,44147,1697.96,187.13,189.65,88.8,1,755.41
CL1338,18-24,Regional QLD,Seasonal,JobSeeker,17803,684.73,115.77,116.07,83.0,1,284.48
CL1339,35-44,Metro - Brisbane,Casual,Youth Allowance,42575,1637.5,2717.0,2781.38,69.9,0,0.0
CL1340,35-44,Metro - Brisbane,Seasonal,Parenting Payment,32703,1257.81,391.9,401.91,68.0,1,432.95
CL1341,18-24,Metro - Melbourne,Permanent Full-Time,JobSeeker,45021,1731.58,1796.07,1785.74,3.1,0,0.0
CL1342,35-44,Regional VIC,Casual,JobSeeker,41991,1615.04,5055.14,5038.54,212.0,0,0.0
CL1343,45-54,Regional NSW,Permanent Part-Time,JobSeeker,39834,1532.08,1686.16,1649.97,7.7,0,0.0
CL1344,25-34,Metro - Sydney,Permanent Part-Time,JobSeeker,34832,1339.69,1260.44,1261.07,5.9,0,0.0
CL1345,18-24,Regional QLD,Seasonal,Youth Allowance,13762,529.31,764.18,774.64,46.3,0,0.0
CL1346,35-44,Regional VIC,Permanent Part-Time,Parenting Payment,39792,1530.46,1401.3,1401.69,8.4,0,0.0
CL1347,45-54,Regional VIC,Permanent Full-Time,JobSeeker,79931,3074.27,2803.44,2882.72,6.2,0,0.0
CL1348,25-34,Regional QLD,Casual,JobSeeker,34771,1337.35,1858.63,1817.75,35.9,0,0.0
CL1349,45-54,Metro - Sydney,Permanent Full-Time,JobSeeker,81286,3126.38,3441.24,3342.19,6.9,0,0.0
CL1350,35-44,Remote,Seasonal,JobSeeker,25387,976.42,2146.66,2155.95,120.8,0,0.0
CL1351,25-34,Regional VIC,Permanent Full-Time,JobSeeker,49486,1903.31,1861.86,1857.54,2.4,0,0.0
CL1352,35-44,Metro - Brisbane,Self-Employed,JobSeeker,68711,2642.73,3251.21,3248.4,22.9,0,0.0
CL1353,45-54,Regional QLD,Seasonal,JobSeeker,27584,1060.92,154.42,152.99,85.6,1,453.25
CL1354,35-44,Regional QLD,Seasonal,JobSeeker,29775,1145.19,2703.68,2705.39,136.2,0,0.0
CL1355,18-24,Regional VIC,Seasonal,Youth Allowance,13976,537.54,1378.33,1386.41,157.9,0,0.0
CL1356,35-44,Regional QLD,Permanent Part-Time,Disability Support,41753,1605.88,1626.94,1600.61,0.3,0,0.0
CL1357,45-54,Regional QLD,Permanent Full-Time,Disability Support,77177,2968.35,3040.13,2977.58,0.3,0,0.0
CL1358,25-34,Remote,Seasonal,JobSeeker,17957,690.65,294.59,297.49,56.9,1,198.03
CL1359,35-44,Regional VIC,Permanent Full-Time,Parenting Payment,77937,2997.58,3023.83,3001.11,0.1,0,0.0
CL1360,45-54,Remote,Casual,JobSeeker,36129,1389.58,679.89,692.25,50.2,1,354.84
CL1361,25-34,Regional QLD,Self-Employed,Parenting Payment,48453,1863.58,1701.73,1664.13,10.7,0,0.0
CL1362,25-34,Metro - Sydney,Casual,JobSeeker,41370,1591.15,324.1,327.93,79.4,1,633.53
CL1363,18-24,Regional QLD,Seasonal,JobSeeker,14071,541.19,22.05,21.93,95.9,1,259.57
CL1364,35-44,Regional VIC,Seasonal,JobSeeker,29682,1141.62,1974.07,2018.62,76.8,0,0.0
CL1365,45-54,Metro - Sydney,Permanent Full-Time,JobSeeker,72944,2805.54,2706.71,2725.89,2.8,0,0.0
CL1366,55-64,Remote,Seasonal,JobSeeker,20475,787.5,635.54,629.87,20.0,1,75.98
CL1367,35-44,Regional NSW,Casual,JobSeeker,44687,1718.73,3066.87,3119.8,81.5,0,0.0
CL1368,35-44,Metro - Sydney,Permanent Full-Time,JobSeeker,75672,2910.46,2988.48,3001.2,3.1,0,0.0
CL1369,18-24,Remote,Permanent Part-Time,JobSeeker,19575,752.88,680.78,669.57,11.1,0,0.0
CL1370,45-54,Regional QLD,Permanent Full-Time,Parenting Payment,66425,2554.81,2467.83,2452.1,4.0,0,0.0
CL1371,18-24,Metro - Melbourne,Casual,JobSeeker,29831,1147.35,2171.93,2223.6,93.8,0,0.0
CL1372,45-54,Regional NSW,Casual,JobSeeker,35418,1362.23,2057.27,2071.33,52.1,0,0.0
CL1373,35-44,Remote,Seasonal,JobSeeker,25918,996.85,2499.85,2574.51,158.3,0,0.0
CL1374,55-64,Metro - Sydney,Permanent Full-Time,JobSeeker,85776,3299.08,3231.15,3190.45,3.3,0,0.0
CL1375,18-24,Remote,Casual,Youth Allowance,21015,808.27,1142.06,1155.24,42.9,0,0.0
CL1376,25-34,Regional VIC,Self-Employed,Disability Support,41296,1588.31,1871.12,1861.47,17.2,0,0.0
CL1377,18-24,Remote,Seasonal,Youth Allowance,15042,578.54,1554.82,1597.19,176.1,0,0.0
CL1378,35-44,Metro - Sydney,Self-Employed,JobSeeker,52424,2016.31,1466.96,1496.08,25.8,1,274.67
CL1379,25-34,Metro - Sydney,Casual,Parenting Payment,41915,1612.12,4266.93,4211.15,161.2,0,0.0
CL1380,45-54,Metro - Melbourne,Permanent Full-Time,Parenting Payment,88586,3407.15,3118.34,3191.48,6.3,0,0.0
CL1381,18-24,Metro - Sydney,Permanent Full-Time,Youth Allowance,43472,1672.0,1787.64,1788.05,6.9,0,0.0
CL1382,18-24,Regional VIC,Casual,Youth Allowance,22521,866.19,46.56,46.35,94.6,1,409.82
CL1383,18-24,Regional QLD,Permanent Full-Time,Youth Allowance,45616,1754.46,1684.43,1735.21,1.1,0,0.0
CL1384,18-24,Metro - Sydney,Permanent Part-Time,JobSeeker,27895,1072.88,1186.75,1157.99,7.9,0,0.0
CL1385,25-34,Regional QLD,Seasonal,JobSeeker,24943,959.35,413.83,412.06,57.0,1,272.76
CL1386,25-34,Metro - Sydney,Permanent Part-Time,Disability Support,37323,1435.5,1330.71,1293.35,9.9,0,0.0
CL1387,18-24,Regional NSW,Permanent Full-Time,Youth Allowance,45445,1747.88,1646.04,1696.11,3.0,0,0.0
CL1388,35-44,Metro - Melbourne,Permanent Full-Time,Parenting Payment,73084,2810.92,2945.21,2968.67,5.6,0,0.0
CL1389,35-44,Regional NSW,Self-Employed,Parenting Payment,53984,2076.31,2251.51,2194.57,5.7,0,0.0
CL1390,45-54,Metro - Sydney,Permanent Full-Time,JobSeeker,92170,3545.0,3541.23,3447.93,2.7,0,0.0
CL1391,35-44,Metro - Sydney,Casual,JobSeeker,42496,1634.46,831.55,835.57,48.9,1,401.46
CL1392,25-34,Metro - Sydney,Self-Employed,JobSeeker,42727,1643.35,1763.21,1772.46,7.9,0,0.0
CL1393,35-44,Metro - Brisbane,Permanent Part-Time,Parenting Payment,41868,1610.31,1935.22,1919.42,19.2,0,0.0
CL1394,18-24,Regional NSW,Permanent Full-Time,Youth Allowance,46920,1804.62,1790.35,1810.44,0.3,0,0.0
CL1395,25-34,Remote,Casual,Parenting Payment,28374,1091.31,523.76,535.45,50.9,1,283.77
CL1396,18-24,Remote,Seasonal,JobSeeker,14051,540.42,1129.89,1099.25,103.4,0,0.0
CL1397,25-34,Metro - Melbourne,Permanent Part-Time,Youth Allowance,29998,1153.77,1266.13,1243.19,7.8,0,0.0
CL1398,18-24,Metro - Brisbane,Seasonal,Parenting Payment,20034,770.54,36.0,36.55,95.3,1,367.27
CL1399,25-34,Metro - Brisbane,Permanent Full-Time,JobSeeker,71023,2731.65,2948.06,2886.64,5.7,0,0.0
CL1400,25-34,Regional VIC,Seasonal,JobSeeker,24198,930.69,5.9,5.79,99.4,1,462.4
CL1401,25-34,Metro - Melbourne,Permanent Full-Time,Parenting Payment,67333,2589.73,2898.05,2873.11,10.9,0,0.0
CL1402,25-34,Regional VIC,Casual,Disability Support,37315,1435.19,491.05,482.1,66.4,1,472.07
CL1403,25-34,Metro - Sydney,Self-Employed,Parenting Payment,42709,1642.65,1310.17,1304.39,20.6,1,166.24
CL1404,18-24,Remote,Seasonal,Youth Allowance,13884,534.0,1530.55,1551.5,190.5,0,0.0
CL1405,35-44,Regional NSW,Seasonal,JobSeeker,25037,962.96,206.93,206.3,78.6,1,378.01
CL1406,25-34,Metro - Sydney,Permanent Full-Time,JobSeeker,67573,2598.96,2664.77,2618.08,0.7,0,0.0
CL1407,35-44,Metro - Melbourne,Permanent Part-Time,Parenting Payment,47937,1843.73,1883.39,1878.37,1.9,0,0.0
CL1408,18-24,Regional NSW,Permanent Part-Time,Youth Allowance,20239,778.42,686.38,706.47,9.2,0,0.0
CL1409,35-44,Regional VIC,Permanent Part-Time,Parenting Payment,31913,1227.42,1399.98,1377.92,12.3,0,0.0
CL1410,35-44,Metro - Melbourne,Self-Employed,JobSeeker,56262,2163.92,2154.59,2114.46,2.3,0,0.0
CL1411,35-44,Regional QLD,Permanent Full-Time,Disability Support,76941,2959.27,3060.97,2999.91,1.4,0,0.0
CL1412,25-34,Remote,Permanent Part-Time,JobSeeker,28582,1099.31,992.44,1000.92,9.0,0,0.0
CL1413,25-34,Regional VIC,Permanent Full-Time,Youth Allowance,58112,2235.08,2231.99,2168.5,3.0,0,0.0
CL1414,18-24,Regional NSW,Casual,JobSeeker,20329,781.88,645.48,646.33,17.3,1,68.2
CL1415,18-24,Metro - Brisbane,Self-Employed,JobSeeker,38077,1464.5,1370.24,1336.65,8.7,0,0.0
CL1416,18-24,Remote,Seasonal,JobSeeker,15068,579.54,33.48,33.43,94.2,1,273.03
CL1417,55-64,Metro - Brisbane,Self-Employed,JobSeeker,55941,2151.58,2607.37,2665.51,23.9,0,0.0
CL1418,18-24,Metro - Melbourne,Casual,Youth Allowance,26548,1021.08,376.89,375.49,63.2,1,322.1
CL1419,35-44,Regional VIC,Seasonal,JobSeeker,24464,940.92,329.34,336.87,64.2,1,305.79
CL1420,18-24,Regional QLD,Permanent Full-Time,Youth Allowance,45518,1750.69,1823.85,1794.69,2.5,0,0.0
CL1421,25-34,Regional VIC,Permanent Full-Time,Youth Allowance,65022,2500.85,2596.5,2530.21,1.2,0,0.0
CL1422,25-34,Metro - Melbourne,Permanent Full-Time,JobSeeker,61291,2357.35,2527.5,2507.01,6.3,0,0.0
CL1423,35-44,Metro - Sydney,Casual,Parenting Payment,42878,1649.15,181.9,179.82,89.1,1,733.62
CL1424,18-24,Metro - Brisbane,Permanent Full-Time,JobSeeker,45199,1738.42,1752.92,1713.39,1.4,0,0.0
CL1425,25-34,Regional NSW,Seasonal,JobSeeker,24363,937.04,2029.33,1998.37,113.3,0,0.0
CL1426,45-54,Metro - Melbourne,Permanent Full-Time,JobSeeker,77706,2988.69,2568.73,2596.98,13.1,0,0.0
CL1427,25-34,Metro - Sydney,Permanent Full-Time,JobSeeker,69310,2665.77,2334.82,2393.25,10.2,0,0.0
CL1428,35-44,Regional VIC,Self-Employed,Parenting Payment,52143,2005.5,1582.93,1568.47,21.8,1,211.28
CL1429,18-24,Regional VIC,Seasonal,JobSeeker,14601,561.58,206.31,203.6,63.7,1,177.64
CL1430,18-24,Regional QLD,Casual,Youth Allowance,20609,792.65,1636.9,1637.79,106.6,0,0.0
CL1431,18-24,Metro - Sydney,Permanent Full-Time,Youth Allowance,49075,1887.5,1784.33,1836.59,2.7,0,0.0
CL1432,45-54,Metro - Melbourne,Permanent Part-Time,Disability Support,38659,1486.88,1452.86,1428.44,3.9,0,0.0
CL1433,18-24,Regional NSW,Casual,Youth Allowance,23762,913.92,417.52,420.82,54.0,1,248.2
CL1434,25-34,Regional NSW,Permanent Full-Time,JobSeeker,62790,2415.0,2379.15,2351.43,2.6,0,0.0
CL1435,35-44,Metro - Sydney,Permanent Full-Time,JobSeeker,90384,3476.31,3455.72,3437.22,1.1,0,0.0
CL1436,35-44,Regional VIC,Permanent Full-Time,JobSeeker,79432,3055.08,2929.7,2916.97,4.5,0,0.0
CL1437,55-64,Metro - Melbourne,Permanent Part-Time,JobSeeker,42465,1633.27,1279.66,1279.5,21.7,1,176.8
CL1438,18-24,Regional VIC,Seasonal,Youth Allowance,14192,545.85,665.36,646.57,18.5,0,0.0
CL1439,25-34,Metro - Melbourne,Casual,JobSeeker,42305,1627.12,5104.87,5066.2,211.4,0,0.0
CL1440,35-44,Remote,Seasonal,JobSeeker,26239,1009.19,292.88,291.97,71.1,1,358.16
CL1441,45-54,Remote,Casual,JobSeeker,39939,1536.12,3061.68,3076.52,100.3,0,0.0
CL1442,18-24,Regional NSW,Permanent Full-Time,Youth Allowance,46927,1804.88,1870.2,1839.35,1.9,0,0.0
CL1443,18-24,Remote,Casual,Youth Allowance,20231,778.12,1500.83,1491.08,91.6,0,0.0
CL1444,18-24,Metro - Sydney,Permanent Full-Time,Youth Allowance,49339,1897.65,1912.7,1924.05,1.4,0,0.0
CL1445,25-34,Regional NSW,Seasonal,JobSeeker,23811,915.81,2560.76,2636.66,187.9,0,0.0
CL1446,45-54,Remote,Seasonal,JobSeeker,27815,1069.81,3215.59,3268.95,205.6,0,0.0
CL1447,25-34,Metro - Brisbane,Self-Employed,Youth Allowance,46076,1772.15,979.51,998.2,43.7,1,396.32
CL1448,18-24,Metro - Melbourne,Self-Employed,Youth Allowance,35927,1381.81,1716.6,1729.69,25.2,0,0.0
CL1449,25-34,Metro - Sydney,Permanent Part-Time,JobSeeker,34270,1318.08,1521.31,1487.46,12.9,0,0.0
